13.0,-8.8
13.0,-8.9
13.0,-9.0
13.0,-9.1
13.0,-9.2
13.0,-9.3
13.0,-9.4
13.0,-9.5
13.0,-9.6
13.0,-9.7
13.0,-9.8
13.0,-9.9
13.0,-10.0
12.9,-10.0
12.8,-10.0
12.7,-10.0
12.6,-10.0
12.5,-10.0
12.4,-10.0
12.3,-10.0
12.2,-10.0
12.1,-10.0
12.0,-10.0
11.9,-10.0
11.8,-10.0
11.7,-10.0
11.6,-10.0
11.5,-10.0
11.4,-10.0
11.3,-10.0
11.2,-10.0
11.1,-10.0
11.0,-10.0
10.9,-10.0
10.8,-10.0
10.7,-10.0
10.6,-10.0
10.5,-10.0
10.4,-10.0
10.3,-10.0
10.2,-10.0
10.1,-10.0
10.0,-10.0
9.9,-10.0
9.8,-10.0
9.7,-10.0
9.6,-10.0
9.5,-10.0
9.4,-10.0
9.3,-10.0
9.2,-10.0
9.1,-10.0
9.0,-10.0
8.9,-10.0
8.8,-10.0
8.7,-10.0
8.6,-10.0
8.5,-10.0
8.4,-10.0
8.3,-10.0
8.2,-10.0
8.1,-10.0
8.0,-10.0
7.9,-10.0
7.8,-10.0
7.7,-10.0
7.6,-10.0
7.5,-10.0
7.4,-10.0
7.3,-10.0
7.2,-10.0
7.1,-10.0
7.0,-10.0
6.9,-10.0
6.8,-10.0
6.7,-10.0
6.6,-10.0
6.5,-10.0
6.4,-10.0
6.3,-10.0
6.2,-10.0
6.1,-10.0
6.0,-10.0
5.9,-10.0
5.8,-10.0
5.7,-10.0
5.6,-10.0
5.5,-10.0
5.4,-10.0
5.3,-10.0
5.2,-10.0
5.1,-10.0
5.0,-10.0
4.9,-10.0
4.8,-10.0
4.7,-10.0
4.6,-10.0
4.5,-10.0
4.4,-10.0
4.3,-10.0
4.2,-10.0
4.1,-10.0
4.0,-10.0
3.9,-10.0
3.8,-10.0
3.7,-10.0
3.6,-10.0
3.5,-10.0
3.4,-10.0
3.3,-10.0
3.2,-10.0
3.1,-10.0
3.0,-10.0
3.0,-9.901
3.0,-9.802
3.0,-9.7031
3.0,-9.6041
3.0,-9.5051
3.0,-9.4061
3.0,-9.3071
3.0,-9.2082
3.0,-9.1092
3.0,-9.0102
3.0,-8.9112
3.0,-8.8122
3.0,-8.7133
3.0,-8.6143
3.0,-8.5153
3.0,-8.4163
3.0,-8.3173
3.0,-8.2184
3.0,-8.1194
3.0,-8.0204
3.0,-7.9214
3.0,-7.8224
3.0,-7.7235
3.0,-7.6245
3.0,-7.5255
3.0,-7.4265
3.0,-7.3276
3.0,-7.2286
3.0,-7.1296
3.0,-7.0306
3.0,-6.9316
3.0,-6.8327
3.0,-6.7337
3.0,-6.6347
3.0,-6.5357
3.0,-6.4367
3.0,-6.3378
3.0,-6.2388
3.0,-6.1398
3.0,-6.0408
3.0,-5.9418
3.0,-5.8429
3.0,-5.7439
3.0,-5.6449
3.0,-5.5459
3.0,-5.4469
3.0,-5.348
3.0,-5.249
3.0,-5.15
3.0,-5.051
3.0,-4.952
3.0,-4.8531
3.0,-4.7541
3.0,-4.6551
3.0,-4.5561
3.0,-4.4571
3.0,-4.3582
3.0,-4.2592
3.0,-4.1602
3.0,-4.0612
3.0,-3.9622
3.0,-3.8633
3.0,-3.7643
3.0,-3.6653
