x,y
16.9157,0.7635
16.9273,0.7098
16.938,0.6558
16.9479,0.6018
16.9569,0.5475
16.9651,0.4932
16.9724,0.4387
16.9789,0.3841
16.9845,0.3294
16.9892,0.2746
16.9931,0.2198
16.9961,0.1649
16.9983,0.1099
16.9996,0.055
17.0,0.0
16.9996,-0.055
16.9983,-0.1099
16.9961,-0.1649
16.9931,-0.2198
16.9892,-0.2746
16.9845,-0.3294
16.9789,-0.3841
16.9724,-0.4387
16.9651,-0.4932
16.9569,-0.5475
16.9479,-0.6018
16.938,-0.6558
16.9273,-0.7098
16.9157,-0.7635
16.9033,-0.8171
16.89,-0.8704
16.876,-0.9236
16.861,-0.9765
16.8453,-1.0291
16.8287,-1.0816
16.8113,-1.1337
16.7931,-1.1856
16.7741,-1.2372
16.7542,-1.2884
16.7336,-1.3394
16.7121,-1.39
16.6899,-1.4403
16.6669,-1.4902
16.6431,-1.5398
16.6185,-1.589
16.5932,-1.6378
16.5671,-1.6861
16.5402,-1.7341
16.5126,-1.7816
16.4842,-1.8287
16.4551,-1.8754
16.4253,-1.9216
16.3948,-1.9673
16.3635,-2.0125
16.3316,-2.0572
16.2989,-2.1015
16.2655,-2.1452
16.2315,-2.1883
16.1968,-2.231
16.1614,-2.2731
16.1254,-2.3146
16.0887,-2.3555
16.0514,-2.3959
16.0134,-2.4357
15.9749,-2.4749
15.9357,-2.5134
15.8959,-2.5514
15.8555,-2.5887
15.8146,-2.6254
15.7731,-2.6614
15.731,-2.6968
15.6883,-2.7315
15.6452,-2.7655
15.6015,-2.7989
15.5572,-2.8316
15.5125,-2.8635
15.4673,-2.8948
15.4216,-2.9253
15.3754,-2.9551
15.3287,-2.9842
15.2816,-3.0126
15.2341,-3.0402
15.1861,-3.0671
15.1378,-3.0932
15.089,-3.1185
15.0398,-3.1431
14.9902,-3.1669
14.9403,-3.1899
14.89,-3.2121
14.8394,-3.2336
14.7884,-3.2542
14.7372,-3.2741
14.6856,-3.2931
14.6337,-3.3113
14.5816,-3.3287
14.5291,-3.3453
14.4765,-3.361
14.4236,-3.376
14.3704,-3.39
14.3171,-3.4033
14.2635,-3.4157
14.2098,-3.4273
14.1558,-3.438
14.1018,-3.4479
14.0475,-3.4569
13.9932,-3.4651
13.9387,-3.4724
13.8841,-3.4789
13.8294,-3.4845
13.7746,-3.4892
13.7198,-3.4931
13.6649,-3.4961
13.6099,-3.4983
13.555,-3.4996
13.5,-3.5
13.445,-3.4996
13.3901,-3.4983
13.3351,-3.4961
13.2802,-3.4931
13.2254,-3.4892
13.1706,-3.4845
13.1159,-3.4789
13.0613,-3.4724
13.0068,-3.4651
12.9525,-3.4569
12.8982,-3.4479
12.8442,-3.438
12.7902,-3.4273
12.7365,-3.4157
12.6829,-3.4033
12.6296,-3.39
12.5764,-3.376
12.5235,-3.361
12.4709,-3.3453
12.4184,-3.3287
12.3663,-3.3113
12.3144,-3.2931
12.2628,-3.2741
12.2116,-3.2542
12.1606,-3.2336
12.11,-3.2121
12.0597,-3.1899
12.0098,-3.1669
11.9602,-3.1431
11.911,-3.1185
11.8622,-3.0932
11.8139,-3.0671
11.7659,-3.0402
11.7184,-3.0126
11.6713,-2.9842
11.6246,-2.9551
11.5784,-2.9253
11.5327,-2.8948
11.4875,-2.8635
11.4428,-2.8316
11.3985,-2.7989
11.3548,-2.7655
11.3117,-2.7315
11.269,-2.6968
11.2269,-2.6614
11.1854,-2.6254
11.1445,-2.5887
11.1041,-2.5514
11.0643,-2.5134
11.0251,-2.4749
10.9866,-2.4357
10.9486,-2.3959
10.9113,-2.3555
10.8746,-2.3146
10.8386,-2.2731
10.8032,-2.231
10.7685,-2.1883
10.7345,-2.1452
10.7011,-2.1015
10.6684,-2.0572
10.6365,-2.0125
10.6052,-1.9673
10.5747,-1.9216
10.5449,-1.8754
10.5158,-1.8287
10.4874,-1.7816
10.4598,-1.7341
10.4329,-1.6861
10.4068,-1.6378
10.3815,-1.589
10.3569,-1.5398
10.3331,-1.4902
10.3101,-1.4403
10.2879,-1.39
10.2664,-1.3394
10.2458,-1.2884
10.2259,-1.2372
10.2069,-1.1856
10.1887,-1.1337
10.1713,-1.0816
10.1547,-1.0291
10.139,-0.9765
10.124,-0.9236
10.11,-0.8704
10.0967,-0.8171
10.0843,-0.7635
10.0727,-0.7098
10.062,-0.6558
10.0521,-0.6018
10.0431,-0.5475
10.0349,-0.4932
10.0276,-0.4387
10.0211,-0.3841
10.0155,-0.3294
10.0108,-0.2746
10.0069,-0.2198
10.0039,-0.1649
10.0017,-0.1099
10.0004,-0.055
10.0,-0.0
9.9996,0.0532
9.9984,0.1064
9.9964,0.1596
9.9935,0.2128
9.9899,0.2659
9.9854,0.3189
9.9802,0.3719
9.9741,0.4248
9.9673,0.4776
9.9596,0.5302
9.9511,0.5828
9.9419,0.6352
9.9318,0.6875
9.921,0.7396
9.9093,0.7915
9.8969,0.8433
9.8837,0.8948
9.8697,0.9462
9.8549,0.9973
9.8393,1.0482
9.823,1.0989
9.8059,1.1493
9.7881,1.1994
9.7694,1.2493
9.7501,1.2989
9.7299,1.3481
9.7091,1.3971
9.6874,1.4457
9.6651,1.4941
9.642,1.542
9.6182,1.5896
9.5937,1.6369
9.5684,1.6837
9.5424,1.7302
9.5158,1.7762
9.4884,1.8219
9.4604,1.8671
9.4316,1.9119
9.4022,1.9563
9.3721,2.0002
9.3414,2.0437
9.31,2.0866
9.2779,2.1291
9.2452,2.1711
9.2119,2.2126
9.1779,2.2536
9.1433,2.2941
9.1082,2.334
9.0724,2.3734
9.036,2.4122
8.999,2.4505
8.9614,2.4882
8.9233,2.5254
8.8846,2.5619
8.8454,2.5979
8.8056,2.6333
8.7653,2.668
8.7245,2.7022
8.6831,2.7357
8.6413,2.7686
8.5989,2.8008
8.5561,2.8324
8.5128,2.8634
8.469,2.8936
8.4248,2.9232
8.3801,2.9522
8.335,2.9804
8.2894,3.008
8.2435,3.0348
8.1971,3.061
8.1504,3.0865
8.1032,3.1112
8.0557,3.1352
8.0079,3.1585
7.9597,3.1811
7.9111,3.2029
7.8623,3.224
7.8131,3.2444
7.7636,3.2639
7.7138,3.2828
7.6637,3.3009
7.6134,3.3182
7.5628,3.3347
7.512,3.3505
7.4609,3.3655
7.4096,3.3797
7.3581,3.3932
7.3064,3.4058
7.2545,3.4177
7.2025,3.4288
7.1503,3.4391
7.0979,3.4486
7.0454,3.4573
6.9927,3.4651
6.94,3.4722
6.8871,3.4785
6.8342,3.484
6.7812,3.4887
6.7281,3.4926
6.6749,3.4956
6.6217,3.4979
6.5685,3.4993
6.5153,3.5
6.4621,3.4998
6.4089,3.4988
6.3557,3.497
6.3025,3.4944
6.2494,3.491
6.1963,3.4868
6.1433,3.4818
6.0904,3.476
6.0376,3.4693
5.9849,3.4619
5.9323,3.4537
5.8799,3.4446
5.8276,3.4348
5.7754,3.4242
5.7234,3.4128
5.6716,3.4006
5.62,3.3876
5.5686,3.3738
5.5174,3.3592
5.4664,3.3439
5.4157,3.3278
5.3652,3.3109
5.315,3.2933
5.265,3.2749
5.2154,3.2557
5.166,3.2358
5.117,3.2151
5.0682,3.1937
5.0198,3.1716
4.9718,3.1487
4.924,3.1251
4.8767,3.1008
4.8297,3.0757
4.7832,3.05
4.737,3.0235
4.6912,2.9964
4.6458,2.9685
4.6009,2.94
4.5564,2.9108
4.5124,2.8809
4.4688,2.8503
4.4257,2.8191
4.3831,2.7872
4.3409,2.7547
4.2993,2.7215
4.2581,2.6878
4.2175,2.6534
4.1774,2.6183
4.1379,2.5827
4.0989,2.5465
4.0604,2.5097
4.0226,2.4723
3.9852,2.4343
3.9485,2.3958
3.9124,2.3567
3.8768,2.3171
3.8419,2.277
3.8076,2.2363
3.7739,2.1951
3.7408,2.1534
3.7084,2.1111
3.6766,2.0684
3.6455,2.0253
3.615,1.9816
3.5852,1.9375
3.5561,1.893
3.5276,1.848
3.4999,1.8026
3.4728,1.7567
3.4464,1.7105
3.4208,1.6639
3.3958,1.6168
3.3716,1.5695
3.3481,1.5217
3.3253,1.4736
3.3033,1.4251
3.282,1.3764
3.2614,1.3273
3.2416,1.2779
3.2226,1.2282
3.2043,1.1782
3.1867,1.1279
3.17,1.0774
3.154,1.0266
3.1387,0.9756
3.1243,0.9244
3.1106,0.873
3.0977,0.8213
3.0856,0.7695
3.0743,0.7175
3.0638,0.6653
3.0541,0.613
3.0452,0.5605
3.037,0.5079
3.0297,0.4552
3.0232,0.4023
3.0175,0.3494
